CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346.0,325,2,0.0,1,Regular
12347.0,1,182,4310.0,0,High Value
12348.0,74,31,1797.24,0,High Value
12349.0,18,73,1757.55,0,High Value
12350.0,309,17,334.4,1,Regular
12352.0,35,95,1545.41,0,High Value
12353.0,203,4,89.0,1,Regular
12354.0,231,58,1079.4,1,Regular
12355.0,213,13,459.4,1,Regular
12356.0,22,59,2811.43,0,High Value
12357.0,32,131,6207.67,0,High Value
12358.0,1,19,1168.06,0,High Value
12359.0,7,254,6245.53,0,High Value
12360.0,51,129,2662.06,0,High Value
12361.0,286,10,189.9,1,Regular
12362.0,2,274,5154.58,0,High Value
12363.0,109,23,552.0,0,High Value
12364.0,7,85,1313.1,0,High Value
12365.0,290,23,320.69,1,Regular
12367.0,3,11,168.9,0,High Value
12370.0,50,167,3545.69,0,High Value
12371.0,44,63,1887.96,0,High Value
12372.0,71,52,1298.04,0,High Value
12373.0,310,14,364.6,1,Regular
12374.0,24,33,742.9300000000001,0,High Value
12375.0,2,18,455.42,0,High Value
12377.0,314,77,1628.12,1,Regular
12378.0,129,219,4008.62,0,High Value
12379.0,81,41,850.29,0,High Value
12380.0,21,105,2720.56,0,High Value
12381.0,4,91,1803.96,0,High Value
12383.0,184,100,1839.31,1,Regular
12384.0,28,30,566.16,0,High Value
12386.0,337,10,401.9,1,Regular
12388.0,15,100,2780.66,0,High Value
12390.0,79,32,549.84,0,High Value
12391.0,21,100,460.89,0,High Value
12393.0,71,64,1582.6,0,High Value
12394.0,63,27,1272.48,0,High Value
12395.0,15,159,2998.28,0,High Value
12397.0,35,126,2409.9,0,High Value
12398.0,45,85,1635.66,0,High Value
12399.0,118,59,1108.65,0,High Value
12401.0,302,5,84.3,1,Regular
12402.0,322,11,225.6,1,Regular
12403.0,49,6,409.7,0,High Value
12405.0,148,54,1710.39,1,Regular
12406.0,21,108,3280.75,0,High Value
12407.0,49,77,1708.12,0,High Value
12408.0,32,113,2842.57,0,High Value
12409.0,78,114,11056.93,0,High Value
12410.0,300,28,681.0799999999999,1,Regular
12412.0,74,61,1226.88,0,High Value
12413.0,66,40,694.15,0,High Value
12414.0,216,18,562.41,1,Regular
12415.0,23,778,123725.45,2,Occasional
12417.0,2,198,3578.8,0,High Value
12418.0,112,34,668.58,0,High Value
12420.0,63,29,600.39,0,High Value
12421.0,15,46,806.27,0,High Value
12422.0,95,39,803.5600000000001,0,High Value
12423.0,0,126,1849.11,0,High Value
12424.0,162,30,1760.96,1,Regular
12425.0,77,36,777.2,0,High Value
12426.0,194,30,582.73,1,Regular
12427.0,11,35,708.37,0,High Value
12428.0,25,300,7877.2,0,High Value
12429.0,8,97,3750.4,0,High Value
12430.0,42,11,256.4,0,High Value
12431.0,35,240,6416.39,0,High Value
12432.0,42,108,5059.32,0,High Value
12433.0,0,420,13375.87,0,High Value
12434.0,84,54,765.19,0,High Value
12435.0,79,36,7829.89,0,High Value
12436.0,99,16,509.01,0,High Value
12437.0,1,201,4896.66,0,High Value
12438.0,13,98,2906.85,0,High Value
12441.0,366,11,173.55,1,Regular
12442.0,2,12,172.06,0,High Value
12444.0,20,177,5005.46,0,High Value
12445.0,21,4,133.4,0,High Value
12446.0,57,58,1002.31,0,High Value
12447.0,242,26,476.49,1,Regular
12448.0,43,22,449.45,0,High Value
12449.0,21,191,4067.29,0,High Value
12450.0,155,8,197.88,1,Regular
12451.0,10,355,8933.52,0,High Value
12452.0,16,23,428.57,0,High Value
12453.0,133,43,707.09,0,High Value
12454.0,52,30,5.684341886080803e-14,0,High Value
12455.0,72,90,2466.86,0,High Value
12456.0,43,129,3153.89,0,High Value
12457.0,57,68,1917.78,0,High Value
12458.0,70,38,947.4,0,High Value
12461.0,93,35,826.88,0,High Value
12462.0,1,72,1124.01,0,High Value
12463.0,45,88,1303.63,0,High Value
12464.0,9,29,1212.05,0,High Value
12465.0,7,51,733.89,0,High Value
12468.0,142,40,724.0400000000001,1,Regular
12471.0,1,531,18740.92,0,High Value
12472.0,30,391,6229.48,0,High Value
12473.0,28,179,2848.23,0,High Value
12474.0,16,457,7116.47,0,High Value
12475.0,53,36,723.38,0,High Value
12476.0,0,264,6546.58,0,High Value
12477.0,22,308,13117.01,0,High Value
12478.0,3,36,680.99,0,High Value
12479.0,3,35,477.3,0,High Value
12480.0,27,154,3281.63,0,High Value
12481.0,22,218,5590.86,0,High Value
12483.0,16,81,2327.13,0,High Value
12484.0,32,350,4495.27,0,High Value
12488.0,9,55,1298.66,0,High Value
12489.0,335,15,334.93,1,Regular
12490.0,4,245,5417.93,0,High Value
12491.0,38,26,460.4,0,High Value
12492.0,62,20,263.21000000000004,0,High Value
12493.0,165,23,416.79,1,Regular
12494.0,9,84,1139.35,0,High Value
12497.0,81,14,1043.1,0,High Value
12498.0,20,23,403.7000000000001,0,High Value
12500.0,22,65,4206.27,0,High Value
12501.0,314,160,2089.68,1,Regular
12502.0,95,147,3723.87,0,High Value
12503.0,337,1,-1126.0,1,Regular
12504.0,17,15,114.0,0,High Value
12505.0,300,1,-4.5,1,Regular
12506.0,232,23,73.5,1,Regular
12507.0,133,23,1258.06,0,High Value
12508.0,25,69,398.27,0,High Value
12509.0,283,7,176.5,1,Regular
12510.0,142,33,982.57,1,Regular
12512.0,65,34,138.03,0,High Value
12513.0,84,36,586.79,0,High Value
12514.0,266,51,1017.68,1,Regular
12515.0,352,16,383.7,1,Regular
12516.0,77,26,1312.06,0,High Value
12517.0,27,286,2464.89,0,High Value
12518.0,0,124,2056.89,0,High Value
12519.0,63,18,340.84,0,High Value
12520.0,78,155,2582.51,0,High Value
12521.0,142,38,599.68,1,Regular
12522.0,38,12,192.72,0,High Value
12523.0,1,110,1745.57,0,High Value
12524.0,8,144,4485.72,0,High Value
12526.0,0,71,1316.66,0,High Value
12527.0,81,18,348.71000000000004,0,High Value
12528.0,8,95,1922.28,0,High Value
12530.0,59,68,1623.63,0,High Value
12531.0,14,17,125.22,0,High Value
12532.0,29,16,349.83000000000004,0,High Value
12534.0,130,63,1089.18,0,High Value
12535.0,91,34,716.35,0,High Value
12536.0,7,273,4106.82,0,High Value
12538.0,28,21,363.95,0,High Value
12539.0,21,274,3852.5,0,High Value
12540.0,19,481,13309.04,0,High Value
12541.0,29,52,981.18,0,High Value
12544.0,29,20,355.7,0,High Value
12545.0,74,50,1000.39,0,High Value
12546.0,46,70,1141.5,0,High Value
12547.0,197,8,207.8,1,Regular
12548.0,165,5,95.2,1,Regular
12550.0,78,57,964.83,0,High Value
12551.0,357,10,168.0,1,Regular
12552.0,38,20,437.82,0,High Value
12553.0,7,196,3652.25,0,High Value
12556.0,49,121,603.71,0,High Value
12557.0,15,33,11990.96,0,High Value
12558.0,1,22,1.0658141036401504e-14,0,High Value
12559.0,310,22,536.21,1,Regular
12560.0,4,111,2101.39,0,High Value
12561.0,302,16,238.85,1,Regular
12562.0,7,168,3781.74,0,High Value
12564.0,260,21,456.9,1,Regular
12565.0,281,10,131.17,1,Regular
12566.0,72,20,346.7,0,High Value
12567.0,22,463,9114.94,0,High Value
12569.0,1,191,4064.99,0,High Value
12571.0,39,34,519.61,0,High Value
12572.0,8,62,1004.72,0,High Value
12573.0,226,28,160.54000000000002,1,Regular
12574.0,315,11,218.45,1,Regular
12576.0,35,89,1306.98,0,High Value
12577.0,34,148,595.4,0,High Value
12578.0,20,120,2753.36,0,High Value
12579.0,72,31,410.72,0,High Value
12580.0,246,24,415.7,1,Regular
12581.0,39,15,197.71,0,High Value
12582.0,238,22,511.36,1,Regular
12583.0,2,251,7187.34,0,High Value
12584.0,3,126,1893.95,0,High Value
12585.0,233,97,1982.81,1,Regular
12586.0,16,12,179.94000000000003,0,High Value
12587.0,7,4,144.0,0,High Value
12588.0,38,10,214.9,0,High Value
12589.0,28,35,646.68,0,High Value
12590.0,189,70,9861.38,1,Regular
12591.0,316,26,452.85,1,Regular
12592.0,91,18,437.6,0,High Value
12593.0,108,21,418.1,0,High Value
12594.0,37,119,3320.2200000000003,0,High Value
12596.0,50,27,618.27,0,High Value
12597.0,18,214,3683.13,0,High Value
12598.0,9,133,3002.68,0,High Value
12599.0,28,62,1032.58,0,High Value
12600.0,28,65,2581.04,0,High Value
12601.0,189,29,569.5600000000001,1,Regular
12602.0,58,12,153.12,0,High Value
12603.0,21,3,739.1999999999999,0,High Value
12604.0,78,16,254.18,0,High Value
12605.0,364,3,-7.5,1,Regular
12607.0,57,202,3.552713678800501e-15,0,High Value
12609.0,77,60,1126.85,0,High Value
12610.0,22,111,2057.99,0,High Value
12611.0,51,65,1193.32,0,High Value
12612.0,57,21,643.59,0,High Value
12613.0,30,163,3218.98,0,High Value
12614.0,277,20,315.6,1,Regular
12615.0,1,105,2291.19,0,High Value
12616.0,84,36,657.25,0,High Value
12617.0,28,42,355.53,0,High Value
12618.0,21,11,177.31,0,High Value
12619.0,15,95,3214.81,0,High Value
12620.0,14,92,1339.41,0,High Value
12621.0,1,474,13612.07,0,High Value
12622.0,231,11,180.1,1,Regular
12623.0,275,18,305.1,1,Regular
12624.0,105,38,641.13,0,High Value
12625.0,211,91,2614.32,1,Regular
12626.0,22,307,6388.35,0,High Value
12627.0,10,230,4478.53,0,High Value
12628.0,3,43,769.61,0,High Value
12630.0,9,64,1270.88,0,High Value
12631.0,56,31,640.5,0,High Value
12633.0,58,103,2140.63,0,High Value
12635.0,89,101,1689.18,0,High Value
12637.0,66,394,5953.25,0,High Value
12638.0,32,39,671.69,0,High Value
12639.0,238,22,486.1,1,Regular
12640.0,23,53,1174.58,0,High Value
12641.0,114,10,185.9,0,High Value
12642.0,24,47,1013.26,0,High Value
12643.0,127,24,3344.64,0,High Value
12644.0,129,31,477.91,0,High Value
12645.0,33,74,1755.38,0,High Value
12646.0,4,45,1346.97,0,High Value
12647.0,21,128,3669.92,0,High Value
12648.0,154,21,318.05,1,Regular
12649.0,106,33,603.71,0,High Value
12650.0,2,20,314.44,0,High Value
12651.0,334,9,114.0,1,Regular
12652.0,321,51,914.53,1,Regular
12653.0,148,43,2209.85,1,Regular
12654.0,10,38,601.98,0,High Value
12656.0,16,130,3982.72,0,High Value
12657.0,10,56,1152.06,0,High Value
12658.0,18,36,686.05,0,High Value
12659.0,29,5,91.68,0,High Value
12660.0,10,13,245.1,0,High Value
12662.0,0,232,3817.08,0,High Value
12664.0,7,38,4863.88,0,High Value
12665.0,324,4,61.75,1,Regular
12666.0,358,2,-227.44,1,Regular
12667.0,57,33,620.13,0,High Value
12668.0,6,168,3743.18,0,High Value
12669.0,150,102,1607.73,1,Regular
12670.0,9,94,2986.15,0,High Value
12672.0,329,10,225.9,1,Regular
12673.0,4,42,610.52,0,High Value
12674.0,11,91,1919.31,0,High Value
12676.0,24,45,1331.39,0,High Value
12678.0,41,167,17588.26,0,High Value
12679.0,51,56,1058.67,0,High Value
12680.0,0,52,862.81,0,High Value
12681.0,14,646,13677.59,0,High Value
12682.0,3,525,12288.22,0,High Value
12683.0,3,362,8221.09,0,High Value
12684.0,7,105,2283.63,0,High Value
12685.0,27,157,2863.08,0,High Value
12686.0,371,7,89.14,1,Regular
12688.0,113,171,4873.81,0,High Value
12689.0,25,72,1247.61,0,High Value
12690.0,205,16,389.01,1,Regular
12691.0,27,32,1035.8,0,High Value
12693.0,120,41,830.96,0,High Value
12694.0,69,37,869.67,0,High Value
12695.0,6,27,582.1,0,High Value
12697.0,20,43,939.02,0,High Value
12700.0,7,270,4867.99,0,High Value
12701.0,79,53,797.71,0,High Value
12702.0,19,12,219.0,0,High Value
12703.0,63,22,274.7,0,High Value
12704.0,6,90,2220.84,0,High Value
12705.0,14,348,6814.24,0,High Value
12707.0,291,33,603.42,1,Regular
12708.0,29,174,2616.32,0,High Value
12709.0,2,257,9294.1,0,High Value
12710.0,96,79,1130.57,0,High Value
12712.0,22,142,4241.63,0,High Value
12713.0,0,38,848.55,0,High Value
12714.0,8,259,4708.86,0,High Value
12715.0,105,21,353.86,0,High Value
12716.0,3,69,1053.49,0,High Value
12717.0,150,56,980.98,1,Regular
12718.0,70,19,238.25,0,High Value
12719.0,4,42,608.1,0,High Value
12720.0,2,359,5713.28,0,High Value
12721.0,31,164,2628.98,0,High Value
12722.0,84,57,904.33,0,High Value
12723.0,3,69,725.07,0,High Value
12724.0,4,53,1031.41,0,High Value
12725.0,370,24,427.8,1,Regular
12726.0,27,124,2609.1,0,High Value
12727.0,10,141,3947.7,0,High Value
12728.0,70,46,836.33,0,High Value
12729.0,113,26,453.01,0,High Value
12731.0,23,277,18793.41,0,High Value
12732.0,179,12,236.26,1,Regular
12733.0,233,22,383.95,1,Regular
12734.0,352,4,110.4,1,Regular
12735.0,314,43,779.5699999999999,1,Regular
12736.0,332,4,234.0,1,Regular
12738.0,371,11,155.35,1,Regular
12739.0,77,38,1013.04,0,High Value
12740.0,63,27,427.6,0,High Value
12743.0,133,134,546.43,0,High Value
12744.0,51,229,9120.39,0,High Value
12747.0,1,103,4196.01,0,High Value
12748.0,0,4642,29072.1,3,At Risk
12749.0,3,231,3868.2,0,High Value
12750.0,128,15,275.88,0,High Value
12752.0,80,53,4366.78,0,High Value
12753.0,3,230,21024.01,0,High Value
12754.0,235,65,2949.12,1,Regular
12755.0,249,6,2203.2,1,Regular
12756.0,86,4,112.07999999999998,0,High Value
12757.0,15,377,4227.7,0,High Value
12758.0,116,97,2791.59,0,High Value
12759.0,51,95,1531.44,0,High Value
12762.0,7,69,1898.52,0,High Value
12763.0,137,18,494.08,0,High Value
12764.0,316,45,1693.88,1,Regular
12766.0,3,310,6989.63,0,High Value
12769.0,238,32,1143.6,1,Regular
12770.0,210,12,1351.45,1,Regular
12772.0,59,55,892.47,0,High Value
12775.0,16,67,1351.24,0,High Value
12778.0,19,51,804.23,0,High Value
12779.0,20,159,3868.7,0,High Value
12781.0,20,30,707.72,0,High Value
12782.0,4,107,2273.32,0,High Value
12783.0,1,86,1603.87,0,High Value
12784.0,8,59,574.42,0,High Value
12785.0,2,15,305.71,0,High Value
12787.0,9,20,463.66,0,High Value
12789.0,64,4,91.85,0,High Value
12790.0,191,21,324.92,1,Regular
12791.0,373,2,192.6,1,Regular
12792.0,256,25,400.54,1,Regular
12793.0,334,24,545.48,1,Regular
12794.0,52,45,860.41,0,High Value
12795.0,18,14,430.48,0,High Value
12797.0,359,17,194.18,1,Regular
12798.0,9,8,6977.04,0,High Value
12802.0,183,26,412.58,1,Regular
12808.0,36,28,483.65,0,High Value
12809.0,167,26,484.36,1,Regular
12811.0,260,31,514.85,1,Regular
12812.0,44,15,229.64,0,High Value
12814.0,101,2,125.92,0,High Value
12815.0,147,47,1063.46,1,Regular
12816.0,95,29,572.2,0,High Value
12817.0,280,4,166.04,1,Regular
12818.0,177,16,1517.88,1,Regular
12820.0,2,59,942.34,0,High Value
12821.0,213,6,92.72,1,Regular
12822.0,70,47,918.98,0,High Value
12823.0,74,5,1759.5,0,High Value
12824.0,59,25,397.12,0,High Value
12826.0,2,94,1468.12,0,High Value
12827.0,5,25,430.15,0,High Value
12828.0,2,56,1018.71,0,High Value
12829.0,321,12,253.05,1,Regular
12830.0,37,39,6748.4,0,High Value
12831.0,261,9,215.05,1,Regular
12832.0,31,27,383.03,0,High Value
12833.0,144,24,417.38,1,Regular
12834.0,282,18,312.38,1,Regular
12836.0,58,175,2612.86,0,High Value
12837.0,172,12,134.1,1,Regular
12838.0,33,123,683.13,0,High Value
12839.0,2,316,5583.62,0,High Value
12840.0,143,116,2714.27,0,High Value
12841.0,4,439,3876.4,0,High Value
12842.0,69,34,1118.99,0,High Value
12843.0,65,108,1680.76,0,High Value
12844.0,28,52,325.96000000000004,0,High Value
12845.0,266,27,354.09,1,Regular
12847.0,21,91,871.54,0,High Value
12849.0,30,51,1050.89,0,High Value
12851.0,96,50,135.18,0,High Value
12852.0,289,20,299.75,1,Regular
12853.0,107,84,1881.7,0,High Value
12854.0,78,115,1289.15,0,High Value
12855.0,372,3,38.1,1,Regular
12856.0,7,317,2162.68,0,High Value
12857.0,210,46,1106.4,1,Regular
12863.0,51,6,504.2,0,High Value
12864.0,137,3,147.12,1,Regular
12865.0,25,96,1548.07,0,High Value
12866.0,282,26,559.12,1,Regular
12867.0,25,551,3986.22,0,High Value
12868.0,185,107,1607.0600000000002,1,Regular
12870.0,365,2,-14.9,1,Regular
12871.0,83,11,380.64,0,High Value
12872.0,326,66,599.97,1,Regular
12873.0,281,4,374.0,1,Regular
12875.0,142,2,343.2300000000001,1,Regular
12876.0,57,85,2218.02,0,High Value
12877.0,3,154,1535.77,0,High Value
12878.0,17,49,841.64,0,High Value
12879.0,44,12,552.5699999999999,0,High Value
12881.0,275,7,298.0,1,Regular
12882.0,8,13,1463.04,0,High Value
12883.0,24,42,703.47,0,High Value
12884.0,87,7,309.05,0,High Value
12885.0,62,72,1158.27,0,High Value
12886.0,67,86,1351.09,0,High Value
12888.0,213,7,313.77,1,Regular
12890.0,23,82,380.47,0,High Value
12891.0,185,3,331.0,1,Regular
12893.0,30,34,188.14,0,High Value
12895.0,41,24,347.3,0,High Value
12897.0,204,4,216.5,1,Regular
12901.0,8,125,16293.1,0,High Value
12902.0,264,10,138.68,1,Regular
12904.0,17,72,509.58,0,High Value
12906.0,11,63,2919.81,0,High Value
12908.0,58,4,246.0,0,High Value
12909.0,39,96,2128.83,0,High Value
12910.0,22,75,3075.04,0,High Value
12912.0,2,24,1662.3,0,High Value
12913.0,4,50,2483.63,0,High Value
12915.0,148,22,363.65,1,Regular
12916.0,138,109,2982.35,0,High Value
12917.0,127,2,594.0,0,High Value
12919.0,7,52,1301.44,0,High Value
12920.0,16,28,164.23,0,High Value
12921.0,3,741,16389.74,0,High Value
12922.0,160,28,405.38,1,Regular
12923.0,63,29,176.97,0,High Value
12924.0,87,31,929.95,0,High Value
12925.0,4,45,694.05,0,High Value
12928.0,34,84,2062.7000000000003,0,High Value
12929.0,121,9,105.1,0,High Value
